"player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","blank","j","q","x","z","s","overtime","minute","second","power.tiles","bingo.count","bingo.points"
"Martin Teo",12,450,3,16,"N",1,"Win","N","Wong Zhi Yuan",406,44,2,1,1,1,1,2,"N",1,34,8,2,151
"Vinnith Ramamurti",12,487,10,17,"N",1,"Win","N","Shim Yen Nee",426,61,2,1,1,1,0,2,"N",12,49,7,2,158
"Jocelyn Lor",12,471,5,18,"N",1,"Win","N","Tony Sim",429,42,2,0,1,1,1,2,"N",7,4,7,2,129
"Tan Jin Chor",12,380,2,19,"N",0,"Lose","N","Marlon Prudencio",514,-134,0,1,0,1,1,2,"N",5,36,5,0,0
"Alex Tan",12,351,7,20,"N",0,"Lose","N","Victor Chua",476,-125,1,1,0,0,0,1,"N",8,2,3,2,134
"Hubert Wee",13,501,16,1,"N",1,"Win","N","Martin Teo",380,121,1,1,1,0,0,2,"N",9,32,5,3,253
"Marlon Prudencio",13,511,14,2,"N",1,"Win","N","Yeo Kian Hung",399,112,1,1,1,1,0,3,"N",10,0,7,3,252
"Wong Zhi Yuan",13,401,18,3,"N",0,"Lose","N","Jocelyn Lor",473,-72,1,1,1,0,1,4,"N",14,31,8,2,142
"Victor Gwee",13,437,12,4,"N",1,"Win","N","Aaron Chong",427,10,2,1,0,1,1,2,"N",2,26,7,2,204
"Tony Sim",13,450,20,5,"N",1,"Win","N","Alex Tan",449,1,0,1,0,1,1,2,"N",1,28,5,2,154
"Ricky Purnomo",13,362,11,6,"N",0,"Lose","N","Nigel Richards",451,-89,0,1,0,1,1,1,"Y",1,7,4,1,87
